,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
0,randwrite,32,4,libaio,4,nvme,1776.0,89.67
1,randwrite,16,16,libaio,64,hdd,68.0,44.94
2,write,32,1,psync,64,hdd,290.0,66.25
3,randwrite,256,16,libaio,16,hdd,93.8,61.4
4,write,32,4,psync,4,nvme,3742.0,51.05
5,randwrite,1,4,psync,64,hdd,104.0,57.68
6,write,1,16,libaio,16,ssd,1850.0,27.54
7,write,256,1,libaio,16,nvme,1802.0,73.37
8,randwrite,64,1,psync,4,ssd,133.0,64.93
9,write,64,4,libaio,4,ssd,633.0,44.58
10,write,1,16,psync,16,ssd,2372.0,38.06
11,randwrite,32,4,psync,16,nvme,1782.0,90.03
12,write,256,4,psync,16,nvme,4222.0,55.64
13,write,256,16,psync,4,ssd,2336.0,34.77
14,randwrite,1,16,libaio,4,nvme,1781.0,91.89
15,randwrite,16,16,psync,16,hdd,119.0,74.39
16,randwrite,32,1,libaio,4,hdd,130.0,80.32
17,randwrite,256,4,libaio,4,nvme,1756.0,89.4
18,write,256,16,psync,16,nvme,4780.0,17.15
19,write,256,16,libaio,64,ssd,2515.0,38.38
20,randwrite,16,1,psync,64,hdd,112.0,55.75
21,write,256,4,libaio,4,ssd,690.0,49.14
22,write,64,16,psync,64,ssd,2356.0,37.29
23,randwrite,64,1,psync,4,hdd,149.0,93.89
24,randwrite,1,16,libaio,16,ssd,201.0,78.31
25,write,16,4,psync,64,ssd,737.0,49.66
26,write,32,16,psync,64,hdd,3752.0,58.88
27,write,64,4,psync,16,hdd,1069.0,71.07
28,randwrite,256,4,libaio,16,ssd,189.0,78.84
29,randwrite,256,1,libaio,64,nvme,1816.0,73.78
30,write,16,16,psync,16,nvme,4787.0,17.12
31,write,16,4,psync,64,nvme,4517.0,57.63
32,randwrite,16,1,libaio,4,hdd,127.0,78.44
33,write,16,1,libaio,4,hdd,285.0,64.54
34,randwrite,1,1,psync,4,nvme,1928.0,79.02
35,write,32,1,libaio,64,ssd,123.0,21.86
36,write,64,16,libaio,64,hdd,3716.0,57.54
37,write,64,1,libaio,4,ssd,120.0,23.75
38,write,32,4,psync,64,ssd,749.0,53.47
39,write,256,4,psync,4,hdd,1068.0,68.92
40,write,256,4,libaio,4,nvme,3314.0,43.93
41,write,64,16,libaio,4,nvme,3409.0,12.57
42,randwrite,16,16,psync,64,nvme,1779.0,93.39
43,randwrite,64,1,psync,64,ssd,125.0,47.06
44,write,256,4,psync,64,ssd,699.0,48.27
45,write,1,16,psync,4,hdd,2880.0,27.33
46,write,32,4,libaio,4,nvme,3570.0,47.39
47,randwrite,256,16,psync,16,ssd,211.0,79.58
48,randwrite,16,16,libaio,64,nvme,1787.0,92.97
49,write,32,4,libaio,16,nvme,4247.0,55.91
50,write,256,16,psync,64,nvme,5015.0,22.44
51,write,1,4,libaio,64,nvme,4510.0,58.34
52,randwrite,256,4,psync,64,ssd,189.0,73.4
53,randwrite,256,4,psync,4,ssd,193.0,79.87
54,write,32,16,libaio,16,ssd,2484.0,37.8
55,randwrite,32,16,libaio,16,hdd,71.4,38.89
56,randwrite,16,1,psync,16,hdd,86.1,54.92
57,randwrite,64,4,libaio,64,ssd,200.0,71.01
58,randwrite,64,4,psync,64,ssd,213.0,74.98
59,randwrite,1,1,libaio,4,nvme,1332.0,67.43
60,randwrite,1,1,psync,4,hdd,152.0,93.89
61,write,64,16,libaio,16,ssd,2322.0,36.8
62,write,16,1,psync,16,hdd,289.0,66.18
63,write,16,16,libaio,64,ssd,2624.0,38.07
64,write,64,16,libaio,4,ssd,2557.0,38.66
65,randwrite,64,4,psync,16,ssd,191.0,76.65
66,randwrite,1,1,psync,64,nvme,1781.0,73.64
67,randwrite,1,1,psync,16,nvme,1727.0,70.95
68,write,16,4,psync,16,hdd,1064.0,70.07
