microseconds_start,duration,job_id,RdMBPS,WtMBPS,Input File Size (Input Level),Input File Size (Output Level),Output File Size (MB),output_level
5851437,778080,6,290.0,289.0,215.2,0.0,214.4,1
11530542,1677619,11,268.6,267.1,215.2,214.4,427.3,1
16361896,1669619,19,281.5,280.1,215.2,233.0,446.0,1
20811819,1366863,27,358.2,356.4,215.2,251.7,464.5,1
21218923,356802,32,380.6,378.5,64.7,64.7,128.8,2
21762053,526549,33,385.4,383.9,64.7,128.8,192.8,2
25949256,1611913,37,266.4,265.1,215.2,194.3,407.5,1
26425412,439551,39,309.0,308.2,64.8,64.7,129.2,2
27170268,728110,40,277.6,276.6,64.8,128.0,192.1,2
27841826,644616,42,316.0,314.9,64.7,129.5,193.6,2
31012368,1638516,45,274.2,272.7,215.2,213.2,426.2,1
31490964,439899,47,308.7,306.5,64.8,64.8,128.6,2
32197223,686493,48,296.7,294.8,64.8,129.5,193.0,2
32862057,642598,50,317.0,315.9,64.7,129.5,193.6,2
35893741,1631817,53,287.3,285.9,215.2,231.9,444.9,1
36358497,426361,55,323.7,321.1,56.3,75.3,130.6,2
36934930,560290,56,362.3,360.7,64.8,128.9,192.7,2
37476950,521217,58,390.9,388.4,64.8,129.5,193.1,2
38198300,700462,59,387.2,385.0,64.7,193.9,257.2,2
40623361,1422031,62,302.0,300.5,215.2,194.3,407.5,1
41490220,830185,64,322.9,321.0,64.8,190.9,254.2,2
42344890,847722,66,318.8,316.7,64.8,193.0,256.0,2
43251777,881106,67,381.7,379.9,64.8,256.0,319.3,2
45717228,1598009,70,281.1,279.7,215.2,213.2,426.3,1
46653985,897152,72,301.7,299.7,64.8,193.4,256.4,2
47230596,550445,74,320.6,318.4,37.8,130.6,167.1,2
48131599,881818,75,380.9,379.1,64.7,255.6,318.8,2
49037987,874714,77,385.0,383.0,64.8,256.4,319.5,2
50317631,1245068,79,344.8,343.1,215.2,194.3,407.4,1
50937409,576372,81,353.6,350.5,64.8,129.6,192.6,2
52136742,1169047,82,289.0,287.2,64.8,257.4,320.2,2
53355825,1180841,84,287.5,285.5,64.7,259.1,321.5,2
55721627,1729361,87,259.7,258.4,215.2,213.1,426.1,1
56767620,1001128,89,266.5,264.2,64.8,189.7,252.2,2
58006631,1207712,91,271.0,269.1,64.8,247.4,309.9,2
59459454,1414526,93,265.6,263.7,66.0,292.3,355.7,2
61345553,1843643,95,253.6,252.3,215.2,230.7,443.6,1
62542722,1181949,98,284.1,281.9,64.8,255.5,317.8,2
63440850,881505,100,269.2,267.2,43.1,183.2,224.7,2
64965703,1492655,101,271.3,269.4,64.7,321.5,383.5,2
66530351,1534489,104,265.5,263.6,64.7,323.8,385.7,2
68870022,2179812,106,254.5,252.8,322.9,206.3,525.5,1
69794257,909048,109,282.9,280.5,64.8,180.4,243.2,2
70893068,1066736,110,254.6,252.2,64.8,194.3,256.6,2
72209265,1280338,112,265.1,262.9,64.7,259.0,321.0,2
73342030,1092460,114,259.4,257.3,47.0,223.3,268.1,2
75603072,2226251,116,260.6,259.0,269.0,284.3,549.9,1
76729632,1071523,119,283.2,280.6,64.8,224.6,286.7,2
78039330,1273149,121,264.6,262.2,64.8,256.5,318.3,2
79489257,1411210,123,276.9,274.6,64.8,307.9,369.5,2
80633918,1101069,125,271.3,269.0,47.9,237.0,282.5,2
83244756,2572743,127,257.0,255.2,322.8,307.7,626.0,1
84359220,1054648,134,257.6,254.4,64.8,194.3,255.9,2
85606775,1211544,136,273.0,270.3,64.8,250.7,312.3,2
86820632,1176382,138,278.3,275.6,64.8,247.5,309.2,2
88103604,1246911,140,272.3,269.6,64.7,259.1,320.6,2
91026268,2882633,142,250.9,249.2,322.9,367.0,685.0,1
91617929,569628,151,238.5,237.3,64.8,64.8,128.9,2
92677916,1020601,152,260.4,257.2,64.8,188.7,250.4,2
93783403,987692,154,275.0,272.6,64.8,194.3,256.7,2
94885457,1085610,156,272.2,269.0,64.8,217.1,278.5,2
96101656,1198915,158,275.6,272.5,64.8,250.4,311.6,2
99042493,2922331,160,242.4,240.7,322.9,352.7,670.9,1
99157333,54732,168,238.4,234.7,3.5,9.0,12.3,2
100150795,977138,169,278.1,274.2,64.8,194.3,255.6,2
101278257,1071552,171,250.1,246.7,64.8,190.8,252.1,2
102314704,1002521,173,276.5,272.7,64.8,199.5,260.8,2
103430428,1097898,175,270.7,268.1,64.8,218.7,280.7,2
104738488,1271352,176,255.0,251.9,64.8,244.4,305.4,2
