timestamp,speed_input,speed_output,filesize_input,filesize_output
6,290.0 rd,289.0 wr,"in(215.2, 0.0)",out(214.4)
11,268.6 rd,267.1 wr,"in(215.2, 214.4)",out(427.3)
19,281.5 rd,280.1 wr,"in(215.2, 233.0)",out(446.0)
27,358.2 rd,356.4 wr,"in(215.2, 251.7)",out(464.5)
32,380.6 rd,378.5 wr,"in(64.7, 64.7)",out(128.8)
33,385.4 rd,383.9 wr,"in(64.7, 128.8)",out(192.8)
37,266.4 rd,265.1 wr,"in(215.2, 194.3)",out(407.5)
39,309.0 rd,308.2 wr,"in(64.8, 64.7)",out(129.2)
40,277.6 rd,276.6 wr,"in(64.8, 128.0)",out(192.1)
42,316.0 rd,314.9 wr,"in(64.7, 129.5)",out(193.6)
45,274.2 rd,272.7 wr,"in(215.2, 213.2)",out(426.2)
47,308.7 rd,306.5 wr,"in(64.8, 64.8)",out(128.6)
48,296.7 rd,294.8 wr,"in(64.8, 129.5)",out(193.0)
50,317.0 rd,315.9 wr,"in(64.7, 129.5)",out(193.6)
53,287.3 rd,285.9 wr,"in(215.2, 231.9)",out(444.9)
55,323.7 rd,321.1 wr,"in(56.3, 75.3)",out(130.6)
56,362.3 rd,360.7 wr,"in(64.8, 128.9)",out(192.7)
58,390.9 rd,388.4 wr,"in(64.8, 129.5)",out(193.1)
59,387.2 rd,385.0 wr,"in(64.7, 193.9)",out(257.2)
62,302.0 rd,300.5 wr,"in(215.2, 194.3)",out(407.5)
64,322.9 rd,321.0 wr,"in(64.8, 190.9)",out(254.2)
66,318.8 rd,316.7 wr,"in(64.8, 193.0)",out(256.0)
67,381.7 rd,379.9 wr,"in(64.8, 256.0)",out(319.3)
70,281.1 rd,279.7 wr,"in(215.2, 213.2)",out(426.3)
72,301.7 rd,299.7 wr,"in(64.8, 193.4)",out(256.4)
74,320.6 rd,318.4 wr,"in(37.8, 130.6)",out(167.1)
75,380.9 rd,379.1 wr,"in(64.7, 255.6)",out(318.8)
77,385.0 rd,383.0 wr,"in(64.8, 256.4)",out(319.5)
79,344.8 rd,343.1 wr,"in(215.2, 194.3)",out(407.4)
81,353.6 rd,350.5 wr,"in(64.8, 129.6)",out(192.6)
82,289.0 rd,287.2 wr,"in(64.8, 257.4)",out(320.2)
84,287.5 rd,285.5 wr,"in(64.7, 259.1)",out(321.5)
87,259.7 rd,258.4 wr,"in(215.2, 213.1)",out(426.1)
89,266.5 rd,264.2 wr,"in(64.8, 189.7)",out(252.2)
91,271.0 rd,269.1 wr,"in(64.8, 247.4)",out(309.9)
93,265.6 rd,263.7 wr,"in(66.0, 292.3)",out(355.7)
95,253.6 rd,252.3 wr,"in(215.2, 230.7)",out(443.6)
98,284.1 rd,281.9 wr,"in(64.8, 255.5)",out(317.8)
100,269.2 rd,267.2 wr,"in(43.1, 183.2)",out(224.7)
101,271.3 rd,269.4 wr,"in(64.7, 321.5)",out(383.5)
104,265.5 rd,263.6 wr,"in(64.7, 323.8)",out(385.7)
106,254.5 rd,252.8 wr,"in(322.9, 206.3)",out(525.5)
109,282.9 rd,280.5 wr,"in(64.8, 180.4)",out(243.2)
110,254.6 rd,252.2 wr,"in(64.8, 194.3)",out(256.6)
112,265.1 rd,262.9 wr,"in(64.7, 259.0)",out(321.0)
114,259.4 rd,257.3 wr,"in(47.0, 223.3)",out(268.1)
116,260.6 rd,259.0 wr,"in(269.0, 284.3)",out(549.9)
119,283.2 rd,280.6 wr,"in(64.8, 224.6)",out(286.7)
121,264.6 rd,262.2 wr,"in(64.8, 256.5)",out(318.3)
123,276.9 rd,274.6 wr,"in(64.8, 307.9)",out(369.5)
125,271.3 rd,269.0 wr,"in(47.9, 237.0)",out(282.5)
127,257.0 rd,255.2 wr,"in(322.8, 307.7)",out(626.0)
134,257.6 rd,254.4 wr,"in(64.8, 194.3)",out(255.9)
136,273.0 rd,270.3 wr,"in(64.8, 250.7)",out(312.3)
138,278.3 rd,275.6 wr,"in(64.8, 247.5)",out(309.2)
140,272.3 rd,269.6 wr,"in(64.7, 259.1)",out(320.6)
142,250.9 rd,249.2 wr,"in(322.9, 367.0)",out(685.0)
151,238.5 rd,237.3 wr,"in(64.8, 64.8)",out(128.9)
152,260.4 rd,257.2 wr,"in(64.8, 188.7)",out(250.4)
154,275.0 rd,272.6 wr,"in(64.8, 194.3)",out(256.7)
156,272.2 rd,269.0 wr,"in(64.8, 217.1)",out(278.5)
158,275.6 rd,272.5 wr,"in(64.8, 250.4)",out(311.6)
160,242.4 rd,240.7 wr,"in(322.9, 352.7)",out(670.9)
168,238.4 rd,234.7 wr,"in(3.5, 9.0)",out(12.3)
169,278.1 rd,274.2 wr,"in(64.8, 194.3)",out(255.6)
171,250.1 rd,246.7 wr,"in(64.8, 190.8)",out(252.1)
173,276.5 rd,272.7 wr,"in(64.8, 199.5)",out(260.8)
175,270.7 rd,268.1 wr,"in(64.8, 218.7)",out(280.7)
176,255.0 rd,251.9 wr,"in(64.8, 244.4)",out(305.4)
179,244.9 rd,243.0 wr,"in(376.7, 343.4)",out(714.4)
187,270.8 rd,269.5 wr,"in(64.8, 64.8)",out(128.9)
189,246.9 rd,243.9 wr,"in(64.8, 149.0)",out(211.2)
190,240.9 rd,239.4 wr,"in(58.4, 135.6)",out(192.8)
192,281.9 rd,278.7 wr,"in(64.7, 194.3)",out(256.1)
194,250.2 rd,248.9 wr,"in(64.7, 211.2)",out(274.5)
196,250.4 rd,248.4 wr,"in(376.7, 396.9)",out(767.5)
205,239.0 rd,237.7 wr,"in(69.9, 129.5)",out(198.3)
207,256.0 rd,251.8 wr,"in(64.8, 175.9)",out(236.7)
209,253.3 rd,249.2 wr,"in(64.8, 194.3)",out(254.9)
211,270.1 rd,266.1 wr,"in(64.7, 236.7)",out(297.0)
213,269.9 rd,268.4 wr,"in(64.8, 257.0)",out(319.9)
215,247.7 rd,245.8 wr,"in(376.7, 373.8)",out(744.6)
225,284.7 rd,282.2 wr,"in(64.7, 129.5)",out(192.6)
226,270.0 rd,265.6 wr,"in(64.8, 191.4)",out(251.9)
228,256.5 rd,254.8 wr,"in(64.8, 194.3)",out(257.3)
230,259.9 rd,256.6 wr,"in(64.8, 209.8)",out(271.1)
232,238.6 rd,237.1 wr,"in(45.7, 167.4)",out(211.8)
234,254.2 rd,252.3 wr,"in(376.6, 439.9)",out(810.2)
245,243.1 rd,243.0 wr,"in(64.8, 64.8)",out(129.5)
246,278.4 rd,274.1 wr,"in(64.7, 194.3)",out(255.0)
248,254.1 rd,251.9 wr,"in(64.8, 198.4)",out(260.9)
250,275.7 rd,271.6 wr,"in(64.8, 254.9)",out(315.0)
252,264.7 rd,260.6 wr,"in(64.8, 250.2)",out(310.0)
254,213.3 rd,210.2 wr,"in(64.8, 257.4)",out(317.3)
256,214.4 rd,212.8 wr,"in(0.0, 430.5)",out(427.3)
257,114.1 rd,112.4 wr,"in(64.8, 259.1)",out(319.0)
258,114.8 rd,114.0 wr,"in(64.8, 260.9)",out(323.6)
259,114.1 rd,113.2 wr,"in(64.6, 259.0)",out(321.2)
262,287.0 rd,285.4 wr,"in(534.9, 194.3)",out(725.1)
265,298.3 rd,294.8 wr,"in(64.8, 127.7)",out(190.3)
267,303.2 rd,300.8 wr,"in(64.8, 129.5)",out(192.8)
269,264.6 rd,260.9 wr,"in(64.8, 316.7)",out(376.2)
271,283.5 rd,279.9 wr,"in(64.8, 319.8)",out(379.7)
273,296.6 rd,294.4 wr,"in(64.8, 321.2)",out(383.2)
275,270.7 rd,268.6 wr,"in(376.6, 401.3)",out(771.8)
